            Time [s]               X [km]               Y [km]               Z [km]              VX [km]              VY [km]              VZ [km] 
     0.000000000e+00      3.630538856e-01      7.880452485e-01      5.009402617e-01     -8.932660858e-01      1.025526334e-01      5.354462286e-01 
     5.624049702e-02      3.122722353e-01      7.925726245e-01      5.302519095e-01     -9.121137739e-01      5.844148630e-02      5.066686987e-01 
     1.124809940e-01      2.605133040e-01      7.946195073e-01      5.579040277e-01     -9.280195858e-01      1.437026356e-02      4.764548062e-01 
     1.687214910e-01      2.079435776e-01      7.941931080e-01      5.838196183e-01     -9.409518357e-01     -2.948498751e-02      4.449411696e-01 
     2.249619881e-01      1.547303991e-01      7.913102991e-01      6.079296218e-01     -9.508968095e-01     -7.295409027e-02      4.122683092e-01 
     4.313941843e-01     -4.345333614e-02      7.600950631e-01      6.799883020e-01     -9.622389061e-01     -2.266071436e-01      2.848719100e-01 
     6.378263805e-01     -2.398955816e-01      6.985896293e-01      7.249441566e-01     -9.352473747e-01     -3.660432114e-01      1.506209673e-01 
     8.442585767e-01     -4.271037195e-01      6.103571073e-01      7.421366201e-01     -8.735902650e-01     -4.860253906e-01      1.588479732e-02 
     1.050690773e+00     -5.986300288e-01      4.996711633e-01      7.320429354e-01     -7.837797675e-01     -5.828086057e-01     -1.128371743e-01 
     1.267048999e+00     -7.559454312e-01      3.649238669e-01      6.940060547e-01     -6.671444084e-01     -6.575359701e-01     -2.358706498e-01 
     1.483407226e+00     -8.860011535e-01      2.169820337e-01      6.309125301e-01     -5.328530101e-01     -7.052536498e-01     -3.443410718e-01 
     1.699765452e+00     -9.856746531e-01      6.165300141e-02      5.462303920e-01     -3.870313609e-01     -7.269680398e-01     -4.360571097e-01 
     1.916123679e+00     -1.053152164e+00     -9.573114219e-02      4.436704809e-01     -2.361921849e-01     -7.245074601e-01     -5.093457732e-01 
     2.160604894e+00     -1.090013747e+00     -2.699256577e-01      3.112443966e-01     -6.637842708e-02     -6.957086212e-01     -5.693121261e-01 
     2.405086110e+00     -1.085822569e+00     -4.339732599e-01      1.670794170e-01      9.899943116e-02     -6.422511989e-01     -6.057055695e-01 
     2.649567326e+00     -1.042298089e+00     -5.821979059e-01      1.695086775e-02      2.556997751e-01     -5.674198763e-01     -6.192499151e-01 
     2.894048541e+00     -9.620260095e-01     -7.099135259e-01     -1.337901431e-01      3.990793912e-01     -4.750736229e-01     -6.109655217e-01 
     3.141945883e+00     -8.467488518e-01     -8.145785211e-01     -2.820712668e-01      5.272413846e-01     -3.671543974e-01     -5.815857275e-01 
     3.389843226e+00     -7.020485482e-01     -8.909129634e-01     -4.205289847e-01      6.361718999e-01     -2.471274976e-01     -5.321046408e-01 
     3.637740568e+00     -5.331332645e-01     -9.363168634e-01     -5.443075575e-01      7.233171678e-01     -1.179442808e-01     -4.638013273e-01 
     3.885637910e+00     -3.456159296e-01     -9.489667132e-01     -6.490213162e-01      7.859954922e-01      1.670405636e-02     -3.785316089e-01 
     4.133535252e+00     -1.456883017e-01     -9.278560736e-01     -7.307027800e-01      8.218118540e-01      1.532429767e-01     -2.781936162e-01 
     4.381432594e+00      5.946882513e-02     -8.729621220e-01     -7.857417867e-01      8.280763805e-01      2.884982021e-01     -1.641914183e-01 
     4.629329936e+00      2.621819014e-01     -7.852461979e-01     -8.111341063e-01      8.023297235e-01      4.181885098e-01     -3.900298869e-02 
     4.877227278e+00      4.544127172e-01     -6.666390582e-01     -8.045327182e-01      7.431266330e-01      5.371852977e-01      9.365279781e-02 
     5.125124621e+00      6.277133709e-01     -5.202529956e-01     -7.644089961e-01      6.495622764e-01      6.401953956e-01      2.296443378e-01 
