        Segment (t0)                  Dx                  Dy                  Dz                 Dvx                 Dvy                 Dvz
     0.000000000e+00     2.783177172e-08     7.713150007e-08     0.000000000e+00     1.940848171e-07     3.432558000e-08     0.000000000e+00
     5.292282485e-02     2.547552732e-08     3.235910671e-08     0.000000000e+00     1.435799778e-07     2.412676743e-08     0.000000000e+00
     1.058456497e-01     2.558311585e-08     6.292193688e-08     0.000000000e+00     1.198225384e-07     4.082951266e-08     0.000000000e+00
     1.587684745e-01     2.526096221e-08     4.541882937e-08     0.000000000e+00     1.446659971e-07     4.012744632e-08     0.000000000e+00
     2.116912994e-01     1.398909826e-04     1.186255654e-05     0.000000000e+00     5.428948028e-05     3.313364368e-04     0.000000000e+00
     4.522835822e-01     8.412383638e-05     6.960045808e-05     0.000000000e+00     1.763710082e-04     2.643482200e-04     0.000000000e+00
     6.928758650e-01     1.149328427e-04     2.872206438e-05     0.000000000e+00     3.236668631e-04     1.422768316e-03     0.000000000e+00
     9.334681478e-01     1.081027008e-04     7.092702260e-05     0.000000000e+00     2.309570564e-04     1.158052754e-03     0.000000000e+00
     1.174060431e+00     1.079216544e-04     1.054302711e-04     0.000000000e+00     3.279431761e-04     2.093717427e-04     0.000000000e+00
     1.418076362e+00     2.020199383e-06     1.237000739e-04     0.000000000e+00     9.215550801e-05     3.339769439e-04     0.000000000e+00
     1.662092294e+00     8.791662099e-05     8.709339298e-05     0.000000000e+00     9.678585480e-04     1.321931424e-03     0.000000000e+00
     1.906108225e+00     1.958017724e-05     1.447121641e-04     0.000000000e+00     8.077575405e-04     1.051213265e-03     0.000000000e+00
     2.150124156e+00     5.916592301e-06     1.438544219e-04     0.000000000e+00     3.551227932e-04     1.182969013e-04     0.000000000e+00
     2.391101414e+00     8.946990366e-05     8.013042246e-05     0.000000000e+00     3.001715498e-04     1.461665610e-04     0.000000000e+00
     2.632078672e+00     3.099874312e-05     1.179645953e-04     0.000000000e+00     1.552824803e-03     1.191087011e-04     0.000000000e+00
     2.873055929e+00     9.499487879e-05     1.045491248e-04     0.000000000e+00     1.256369451e-03     7.111874619e-05     0.000000000e+00
     3.114033187e+00     1.119934927e-04     8.987475884e-05     0.000000000e+00     1.418374250e-04     3.574381096e-04     0.000000000e+00
     3.353025942e+00     1.207042918e-04     1.717185173e-05     0.000000000e+00     3.096651537e-04     1.276887594e-04     0.000000000e+00
     3.592018696e+00     9.206089322e-05     7.375204567e-05     0.000000000e+00     1.119100226e-03     1.109490939e-03     0.000000000e+00
     3.831011451e+00     1.427547246e-04     1.670995601e-05     0.000000000e+00     8.906926099e-04     9.151038730e-04     0.000000000e+00
     4.070004205e+00     1.531180776e-04     3.170096095e-05     0.000000000e+00     1.941343499e-04     4.001337201e-04     0.000000000e+00
     4.310660955e+00     6.982265074e-05     1.165738945e-04     0.000000000e+00     1.181121908e-04     3.462068263e-04     0.000000000e+00
     4.551317705e+00     1.260159593e-04     4.131830322e-05     0.000000000e+00     1.101145109e-04     1.792904106e-03     0.000000000e+00
     4.791974454e+00     9.449800800e-05     1.271423742e-04     0.000000000e+00     1.158245882e-04     1.460371330e-03     0.000000000e+00
     5.032631204e+00     7.359665373e-05     1.093041766e-04     0.000000000e+00     3.170135969e-04     8.851889515e-05     0.000000000e+00
     5.263744821e+00     2.342400322e-05     1.021247146e-04     0.000000000e+00     1.368786457e-04     2.729344192e-04     0.000000000e+00
     5.494858438e+00     6.028415140e-05     9.025564494e-05     0.000000000e+00     1.060862817e-03     9.095572118e-04     0.000000000e+00
     5.725972055e+00     1.983892589e-05     1.224094675e-04     0.000000000e+00     8.793071561e-04     7.203525739e-04     0.000000000e+00
     5.957085672e+00     5.060376829e-05     1.588532637e-04     0.000000000e+00     4.231156791e-04     2.175488643e-04     0.000000000e+00
     6.198028279e+00     1.262708588e-04     6.168428403e-05     0.000000000e+00     3.783534427e-04     9.568030020e-05     0.000000000e+00
     6.438970886e+00     5.212426829e-05     1.305631659e-04     0.000000000e+00     1.944712721e-03     2.418472572e-04     0.000000000e+00
     6.679913494e+00     1.391386134e-04     8.692443624e-05     0.000000000e+00     1.585920430e-03     2.353453247e-04     0.000000000e+00
     6.920856101e+00     1.087060844e-04     6.384263585e-05     0.000000000e+00     6.790046721e-05     2.867576690e-04     0.000000000e+00
     7.149233491e+00     9.228380692e-05     2.341771604e-05     0.000000000e+00     2.510660581e-04     1.513388742e-04     0.000000000e+00
     7.377610881e+00     8.971332251e-05     5.177354564e-05     0.000000000e+00     7.919668083e-04     1.035444483e-03     0.000000000e+00
     7.605988271e+00     1.120332192e-04     2.035760735e-05     0.000000000e+00     6.173592993e-04     8.549966358e-04     0.000000000e+00
     7.834365660e+00     1.642390580e-04     7.309864177e-05     0.000000000e+00     2.775058861e-04     4.623941327e-04     0.000000000e+00
     8.078892814e+00     5.553324054e-05     1.460027362e-04     0.000000000e+00     5.509005493e-05     4.243903220e-04     0.000000000e+00
     8.323419968e+00     1.343675099e-04     6.689873033e-05     0.000000000e+00     4.827700527e-04     2.139157394e-03     0.000000000e+00
     8.567947121e+00     8.170849617e-05     1.630617830e-04     0.000000000e+00     4.331045273e-04     1.734265622e-03     0.000000000e+00
     8.812474275e+00     5.073947141e-05     1.162514840e-04     0.000000000e+00     3.116716104e-04     2.673358316e-05     0.000000000e+00
     9.040913191e+00     3.691745976e-05     9.366213248e-05     0.000000000e+00     1.905011280e-04     2.342596369e-04     0.000000000e+00
     9.269352107e+00     4.156197010e-05     9.542662039e-05     0.000000000e+00     1.172664072e-03     6.570706173e-04     0.000000000e+00
     9.497791023e+00     3.270868499e-05     1.149354460e-04     0.000000000e+00     9.556341223e-04     5.075978210e-04     0.000000000e+00
     9.726229940e+00     3.596665292e-08     4.344223813e-08     0.000000000e+00     1.089093392e-07     1.018206308e-07     0.000000000e+00
     9.773645876e+00     1.536375466e-08     2.208023622e-08     0.000000000e+00     7.733445773e-08     7.410200214e-08     0.000000000e+00
     9.821061813e+00     2.940042810e-08     3.521188407e-08     0.000000000e+00     8.030532881e-08     5.736758266e-08     0.000000000e+00
     9.868477750e+00     1.926801405e-08     2.767430000e-08     0.000000000e+00     9.345548697e-08     6.725870407e-08     0.000000000e+00
